Title,Audience-Score,Critic-Score,Revenue,Release-Date,Year,Film-Rating,Director,Genre,Runtime,month,season,Decade
Snow White and the Seven Dwarfs,78,97,,,,G,David Hand,"['Kids & Family', 'Fantasy', 'Animation']",80,,,
Pinocchio,33,0,3700000,2002-12-25,2002.0,G,Roberto Benigni,"['Kids & Family', 'Fantasy', 'Comedy', 'Drama']",107,12.0,Winter,2000.0
Fantasia,83,95,24800000,1940-11-13,1940.0,G,James Algar,"['Kids & Family', 'Fantasy', 'Animation']",120,11.0,Fall,1940.0
The Reluctant Dragon,66,100,,1941-01-02,1941.0,,Alfred L. Werker,"['Kids & Family', 'Fantasy']",72,1.0,Winter,1940.0
Dumbo,70,95,,1941-10-23,1941.0,G,Ben Sharpsteen,"['Kids & Family', 'Fantasy', 'Animation']",64,10.0,Fall,1940.0
Bambi,73,91,38100000,1942-08-21,1942.0,G,David Hand,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",70,8.0,Summer,1940.0
Saludos Amigos,40,82,,1943-02-06,1943.0,,Norman Ferguson,"['Kids & Family', 'Musical']",45,2.0,Winter,1940.0
Victory Through Air Power,52,,,,,,James Algar,['Documentary'],70,,,
The Three Caballeros,64,85,,1945-02-03,1945.0,G,Norman Ferguson,"['Kids & Family', 'Musical', 'Fantasy', 'Comedy']",70,2.0,Winter,1940.0
Make Mine Music,40,58,,,,,Jack Kinney,"['Kids & Family', 'Fantasy', 'Animation']",75,,,
Song of the South,72,50,,1949-11-12,1949.0,G,Harve Foster,"['Kids & Family', 'Fantasy']",95,11.0,Fall,1940.0
Fun and Fancy Free,58,73,,1947-09-27,1947.0,G,Jack Kinney,"['Kids & Family', 'Fantasy']",73,9.0,Fall,1940.0
Melody Time,48,69,,1948-05-27,1948.0,,Clyde Geronimi,"['Kids & Family', 'Musical', 'Animation']",75,5.0,Spring,1940.0
So Dear to My Heart,50,,,1949-01-19,1949.0,G,Harold D. Schuster,"['Kids & Family', 'Drama']",85,1.0,Winter,1940.0
The Adventures of Ichabod and Mr. Toad,71,89,,1949-10-05,1949.0,G,Jack Kinney,"['Kids & Family', 'Fantasy', 'Animation']",68,10.0,Fall,1940.0
Cinderella,80,95,33500000,1950-02-15,1950.0,G,Clyde Geronimi,"['Kids & Family', 'Fantasy', 'Animation']",74,2.0,Winter,1950.0
Treasure Island,,82,,,,,Maurice Tourneur,['Adventure'],76,,,
Alice in Wonderland,,,,,,,Robson Lima,"['Kids & Family', 'Fantasy', 'Animation']",50,,,
The Story of Robin Hood and His Merrie Men,65,,,1952-06-26,1952.0,PG,Ken Annakin,"['Kids & Family', 'Adventure']",84,6.0,Summer,1950.0
Peter Pan,50,,,,,,,"['Fantasy', 'Animation']",46,,,
